Month_End,CPI,FEDFUNDS,Industrial_Production,GDP,Unemployment_Rate,Consumer_Sentiment,Credit_Spread,Regime_Label,Regime_Prob_0,Regime_Prob_1,Regime_Prob_2,Regime_Prob_3,Regime_Prob_4,Regime_Prob_5,Regime_Prob_6,Regime_Prob_7,Regime_Prob_8,Regime_Prob_9,Regime_Label_Smoothed,Regime_Name
2013-11-30,234.1,0.08,100.1582,0.767537138953869,6.9,75.1,4.321363636363636,1,1.097140007985641e-24,0.9977525673793695,9.641001296933788e-11,4.8223685945369e-44,1.1076415748980793e-79,0.0022474325242176968,2.6361205289318475e-15,3.1846144588284227e-25,4.482545905286584e-30,7.601318156680578e-28,1.0,Crisis Peak
2013-12-31,234.719,0.09,100.374,0.971119168534748,6.7,82.5,4.081363636363637,1,6.055327840388855e-21,0.9977673608824956,3.615876619590923e-13,3.1290215337404215e-45,7.470217518498681e-58,0.0022326391170722597,7.0487624078285e-14,3.430306815125558e-34,4.5471051305457684e-20,9.461940719708182e-37,1.0,Crisis Peak
2014-01-31,235.288,0.07,99.9899,1.13910985348068,6.6,81.2,3.969130434782609,1,1.1492447767000557e-20,0.9991319007019727,2.769013725246643e-13,5.1444709128082816e-46,1.665635486284888e-56,0.0008680992952544278,2.495965683506482e-12,2.323719183298125e-34,2.653982801751123e-22,1.4535320999543008e-37,1.0,Crisis Peak
2014-02-28,235.547,0.07,100.7471,1.25828617941671,6.7,81.6,4.0305,1,3.095011825227307e-21,0.9994727584502447,6.529205087540287e-14,1.6679651437968732e-47,3.4276809752556944e-53,0.0005272415478069097,1.882543299879104e-12,3.312857185148746e-31,5.939340967149652e-16,2.3994357763890415e-40,1.0,Crisis Peak
2014-03-31,236.028,0.08,101.7435,1.32420916179553,6.7,80.0,3.8076190476190472,1,2.2385861330252956e-23,0.9999664007723053,4.184466080011794e-14,4.44222399872585e-48,1.1079954371275434e-52,3.3599226380292965e-05,8.274665804093708e-13,2.8800921288902414e-30,4.4511269599645286e-13,1.949369715706012e-40,1.0,Crisis Peak
2014-04-30,236.468,0.09,101.8273,1.3505375229715,6.2,84.1,3.7040909090909087,1,8.691112745901744e-22,0.999999396484702,1.0412254523006373e-15,1.0601498231584698e-46,5.19158003806028e-38,6.035147588562294e-07,5.379977020609133e-13,3.919581627375727e-48,3.658640517884589e-35,9.476911958352713e-44,1.0,Crisis Peak
2014-05-31,236.918,0.09,102.2392,1.35758561271606,6.3,81.9,3.75,1,2.640480886072823e-23,0.9999995935782471,4.506692747937383e-15,5.880046283907318e-47,3.0680272964703404e-42,4.064210605301116e-07,6.880470013469843e-13,1.5367418496534324e-42,1.0468696993362844e-21,3.035937279047735e-42,1.0,Crisis Peak
2014-06-30,237.231,0.1,102.5774,1.3633655966783,6.1,82.5,3.471904761904762,1,4.565316202676876e-23,0.9999999111176623,5.911188887381275e-15,9.359435339357288e-46,1.0156833267331377e-37,8.888138817925554e-08,9.436554620778255e-13,2.548353650283816e-49,1.6660374128583269e-31,3.835098038756271e-42,1.0,Crisis Peak
2014-07-31,237.498,0.09,102.7954,1.37600967135838,6.2,81.8,3.653043478260869,1,7.879364122479854e-24,0.9999999115283763,5.991603716205192e-15,1.827932989605691e-46,2.846802947993657e-40,8.847128847947175e-08,3.292266552945679e-13,1.3773084390103977e-44,5.568546337194679e-22,2.1804087307907422e-42,1.0,Crisis Peak
2014-08-31,237.46,0.09,102.6322,1.3976207793353,6.1,82.5,3.9718181818181817,1,3.946882039456011e-23,0.9999999285135073,4.1046744308956455e-15,3.773005804849014e-46,1.603925439027232e-37,7.148556225821447e-08,9.263586569313041e-13,2.2762889629456585e-48,1.354336494489737e-29,6.061550399424062e-43,1.0,Crisis Peak
2014-09-30,237.477,0.09,102.9417,1.4276210654124,5.9,84.6,4.06,1,3.6804036239096267e-22,0.9999999753531336,1.2965864882709333e-15,1.923678689276621e-45,4.138404028100751e-31,2.4646690510577166e-08,1.7460571447560338e-13,1.21816408517101e-56,1.5892489343100255e-48,7.038148097139341e-45,1.0,Crisis Peak
2014-10-31,237.43,0.09,102.9611,1.46547629376267,5.7,86.9,4.514347826086956,1,8.60501605295777e-21,0.999999987441894,2.957142403231221e-16,7.149491489450005e-45,4.690794916083401e-25,1.2558070341885155e-08,3.536482036315182e-14,5.320034129363698e-66,1.6777080896909214e-78,5.210885475104791e-47,1.0,Crisis Peak
2014-11-30,236.983,0.09,103.5978,1.51085093879199,5.8,88.8,4.457619047619048,1,7.285889927667537e-21,0.9999999932303372,2.3717968606060306e-17,3.591558284090897e-46,1.2995890853167875e-23,6.76966263000484e-09,1.0526383640881188e-16,5.911619605904715e-64,2.829623774492753e-77,1.2684652252495507e-50,1.0,Crisis Peak
2014-12-31,236.252,0.12,103.6151,1.56297821568924,5.6,93.6,5.069565217391304,1,2.9006848274482348e-18,0.9999999969465201,7.351743647789159e-19,1.0401758809945191e-45,2.5517106159753765e-15,3.053477304195482e-09,2.5650216776293327e-19,1.257273414390097e-78,3.117726746725494e-147,5.8505304595438855e-55,1.0,Crisis Peak
2015-01-31,234.747,0.11,102.7923,1.62154074953327,5.7,98.1,5.288695652173913,1,1.7805039937318332e-15,0.9999999972033184,6.9974153600194e-21,2.1377263425058101e-47,8.981494807705502e-13,2.795781702203628e-09,2.3333271917596554e-20,3.90145796106633e-80,1.3682875432111504e-188,2.3335357119220858e-60,1.0,Crisis Peak
2015-02-28,235.342,0.11,102.1366,1.68581461939334,5.5,95.4,4.711428571428572,1,4.591708823460504e-16,0.9999999990554402,2.1466476575343006e-20,1.14600866177016e-46,1.4617828474366813e-13,9.444130677084153e-10,3.456495602434393e-17,1.1485360636908408e-86,3.9345901969929357e-197,1.320495939243784e-57,1.0,Crisis Peak
2015-03-31,235.976,0.11,101.7869,1.75138618821989,5.4,93.0,4.664545454545455,1,1.5833773952464293e-16,0.9999999992734379,1.2923254263795186e-19,3.230406972970095e-46,1.9507428791236127e-14,7.265351651925582e-10,7.180974870117164e-15,8.907303563677855e-89,2.5167375099740554e-189,1.249713289821998e-55,1.0,Crisis Peak
2015-04-30,236.222,0.12,101.2255,1.81136596927688,5.4,95.9,4.635454545454546,1,1.2141908912276703e-14,0.9999999992607436,1.0383412779413931e-20,7.161610030105983e-47,1.5421396391096615e-12,7.377012932598297e-10,7.372697582547143e-16,4.1207878003009037e-91,4.437788843504269e-224,4.460180680569995e-59,1.0,Crisis Peak
2015-05-31,237.001,0.12,100.7675,1.8597089667964,5.6,90.7,4.507727272727273,1,3.2684833916042457e-15,0.9999998897978529,1.1201030611409948e-17,1.9424557189380237e-46,1.0228578509264184e-17,1.1011660859587218e-07,8.553517434646747e-11,1.8063262911463116e-75,3.561518287459176e-141,3.735111131104168e-54,1.0,Crisis Peak
2015-06-30,237.657,0.13,100.4588,1.89321738359514,5.3,96.1,4.66,1,1.691985808708998e-13,0.9999999988858537,1.3405191618669129e-20,1.0929787479599743e-46,9.075333788470098e-12,1.104896665871115e-09,5.11297222808419e-15,3.008188394500696e-94,6.069062622820871e-243,1.0143636247217366e-59,1.0,Crisis Peak
2015-07-31,238.034,0.13,101.0893,1.91406038428506,5.2,93.1,5.106086956521739,1,2.0931682821179933e-15,0.9999999996203888,1.0609545687413177e-19,4.076110046007053e-46,6.6332908203840765e-12,3.7291374175274823e-10,6.210356385243949e-14,3.0321374017573915e-96,1.0952804365873322e-220,2.5191945901300985e-57,1.0,Crisis Peak
2015-08-31,238.033,0.14,100.9165,1.9263841001745097,5.1,91.9,5.658095238095238,1,2.0882707662544436e-15,0.9999999996864666,5.217955586368211e-19,3.694144344979467e-45,7.452815077744134e-12,3.0568657788882686e-10,3.920807151429267e-13,3.632049238961659e-102,4.2544979677326864e-231,2.3946942699561867e-55,1.0,Crisis Peak
2015-09-30,237.498,0.14,100.633,1.93365531095599,5.0,87.2,5.868181818181818,1,1.993719095945222e-15,0.9999999970363964,9.17187031168816e-16,1.5088586255898826e-42,5.423426517199385e-14,1.8049663818953425e-09,1.1585800087510396e-09,8.955914801159631e-107,5.5764461775404244e-210,1.3144877163062646e-48,1.0,Crisis Peak
2015-10-31,237.733,0.12,100.1563,1.93640213870066,5.0,90.0,6.197391304347826,1,1.0878734685677287e-14,0.9999999987033497,1.233993202204784e-17,6.391035717053025e-44,7.097625672414487e-13,1.285226279847369e-09,1.0703344509383295e-11,5.248100590270837e-107,2.46657991660029e-235,2.9054949455242035e-52,1.0,Crisis Peak
2015-11-30,238.017,0.12,99.4366,1.93340847071216,5.1,91.3,6.136190476190476,1,2.0056142561278417e-13,0.9999999906420856,6.69293525602694e-18,1.9326176617938995e-44,5.3816872931962286e-14,9.351725481919596e-09,5.9345705794859444e-12,5.254294899316386e-102,7.241765580664169e-235,2.3647665009699766e-53,1.0,Crisis Peak
2015-12-31,237.761,0.24,98.9471,1.92320529808263,5.0,92.6,6.8786956521739135,1,1.6643215748690805e-12,0.9999999988053259,2.4255045521704524e-18,7.162197953061911e-43,5.718336442970884e-14,1.1929288976938035e-09,2.3894490231517476e-14,2.1510756890028582e-123,1.07852749078e-312,1.410059746928851e-51,1.0,Crisis Peak
2016-01-31,237.652,0.34,99.4391,1.90349200151978,4.8,92.0,7.594545454545455,1,8.543973674023487e-13,0.9999999998661455,9.314477227077189e-18,1.875397703249098e-40,2.840048683727466e-11,1.045973278660294e-10,2.3185121195809653e-15,3.709260088107543e-148,0.0,3.655116924459261e-48,1.0,Crisis Peak
2016-02-29,237.336,0.38,98.9232,1.8719053477196,4.9,91.7,8.225714285714286,1,3.614085675521882e-12,0.999999999561803,3.482039071187405e-17,6.074918360673791e-40,4.3931955593224496e-14,4.345377623415776e-10,1.4172680432463776e-15,3.215437036835895e-148,0.0,2.3703485365028615e-46,1.0,Crisis Peak
2016-03-31,238.08,0.36,98.1635,1.83346958150238,5.0,91.0,6.980869565217391,1,9.046913618406188e-12,0.9999999960655683,1.310391302010241e-16,3.2040889713616226e-40,5.011606760997707e-18,3.925380418618693e-09,4.022089504628362e-15,6.686091993260713e-138,0.0,1.8338845443558114e-45,1.0,Crisis Peak
2016-04-30,238.992,0.37,98.4775,1.79616686623395,5.1,89.0,6.619545454545454,1,5.311308093440997e-13,0.9999999910268711,9.721064000069676e-16,2.22904329812635e-40,3.2815442904907575e-19,8.972308778115976e-09,2.879567234139713e-13,1.6110441894412836e-127,3.5892050667287345e-285,8.985913396903497e-44,1.0,Crisis Peak
